Numero do Pedido;Vendedor Responsavel;NF Faturada;Data de Faturamento;Mapa;Cidade Destino;Estado;Regiao;Peso Pedido
ARBOR2024937317;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;16401,79
ARBOR2024518534;514217;3,32E+39;03/07/2023;30723;Queimados;RJ;Baixada Fluminense;3140,78
ARBOR2024933331;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;11082,72
ARBOR2024859550;857772;3,32E+39;03/07/2023;30723;Belford Roxo;RJ;Baixada Fluminense;488,25
ARBOR2024577747;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;499,88
ARBOR2024579423;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;495,07
ARBOR2024937317;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;15920,18
ARBOR2024518534;514217;3,32E+39;03/07/2023;30723;Queimados;RJ;Baixada Fluminense;517,72
ARBOR2024933331;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;17201,55
ARBOR2024859550;857772;3,32E+39;03/07/2023;30723;Belford Roxo;RJ;Baixada Fluminense;819,23
ARBOR2024284532;284438;3,32E+39;03/07/2023;30723;Sao Joao de Meriti;RJ;Baixada Fluminense;973,54
ARBOR2024571840;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;4632,46
ARBOR2024897163;891096;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;3353,73
ARBOR2024516811;514217;3,32E+39;03/07/2023;30723;Duque de Caxias;RJ;Baixada Fluminense;799,91
ARBOR2024515461;514217;3,32E+39;03/07/2023;30723;Duque de Caxias;RJ;Baixada Fluminense;4822,64
ARBOR2024939632;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;17269,56
ARBOR2024892436;891096;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;15823,60
ARBOR2024579341;573008;3,32E+39;03/07/2023;30723;Guapimirim;RJ;Baixada Fluminense;2969,28
ARBOR2024512983;514217;3,32E+39;03/07/2023;30723;Mage;RJ;Baixada Fluminense;3596,31
ARBOR2024287589;284438;3,32E+39;03/07/2023;30723;Sao Joao de Meriti;RJ;Baixada Fluminense;4501,57
ARBOR2024855303;857772;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;4188,63
ARBOR2024896295;891096;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;2985,78
ARBOR2024931884;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;1453,81
ARBOR2024512498;514217;3,32E+39;03/07/2023;30723;Queimados;RJ;Baixada Fluminense;2570,98
ARBOR2024577747;573008;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;1876,14
ARBOR2024579423;573008;3,32E+39;03/07/2023;30723;Belford Roxo;RJ;Baixada Fluminense;9562,00
ARBOR2024937317;937168;3,32E+39;03/07/2023;30723;Sao Joao de Meriti;RJ;Baixada Fluminense;7651,88
ARBOR2024518534;514217;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;521,37
ARBOR2024933331;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;2829,17
ARBOR2024859550;857772;3,32E+39;03/07/2023;30723;Duque de Caxias;RJ;Baixada Fluminense;1058,68
ARBOR2024577747;573008;3,32E+39;03/07/2023;30723;Duque de Caxias;RJ;Baixada Fluminense;5146,72
ARBOR2024579423;573008;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;9828,40
ARBOR2024937317;937168;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;10373,13
ARBOR2024518534;514217;3,32E+39;03/07/2023;30723;Guapimirim;RJ;Baixada Fluminense;2673,85
ARBOR2024518534;937168;3,32E+39;03/07/2023;30723;Mage;RJ;Baixada Fluminense;2788,96
ARBOR2024933331;857772;3,32E+39;03/07/2023;30723;Sao Joao de Meriti;RJ;Baixada Fluminense;3587,29
ARBOR2024859550;284438;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;3939,12
ARBOR2024577747;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;1846,12
ARBOR2024579423;891096;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;2589,67
ARBOR2024937317;514217;3,32E+39;03/07/2023;30723;Queimados;RJ;Baixada Fluminense;5146,72
ARBOR2024518534;514217;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;10891,68
ARBOR2024518534;937168;3,32E+39;03/07/2023;30723;Belford Roxo;RJ;Baixada Fluminense;2368,29
ARBOR2024933331;891096;3,32E+39;03/07/2023;30723;Sao Joao de Meriti;RJ;Baixada Fluminense;1793,08
ARBOR2024859550;573008;3,32E+39;03/07/2023;30723;Teresopolis;RJ;Teresopolis;4743,33
ARBOR2024577747;514217;3,32E+39;03/07/2023;30723;Rio de Janeiro;RJ;Cidade do Rio de Janeiro;12844,22
ARBOR2024579423;284438;3,32E+39;03/07/2023;30723;Duque de Caxias;RJ;Baixada Fluminense;1551,37
ARBOR2024937317;857772;3,32E+39;03/07/2023;30723;Duque de Caxias;RJ;Baixada Fluminense;1058,68
